time	V(out)
3.412363376264026e-003	2.662658e-007
6.312675654653596e-003	2.524456e-006
9.473676248203757e-003	2.211537e-005
1.269357499373586e-002	1.906798e-004
1.594206550286842e-002	1.638003e-003
1.938548685478215e-002	1.403287e-002
2.403334840340532e-002	9.643432e-002
3.587270133612194e-002	4.459502e-001
1.157085003671330e-001	2.681385e+000
2.506694378671330e-001	4.832771e+000
3.696320210911770e-001	4.362329e+000
4.565161803357400e-001	3.665726e+000
5.366492369763651e-001	3.122825e+000
6.336524108044903e-001	2.572667e+000
7.517432311169902e-001	2.033337e+000
8.867041686169900e-001	1.552167e+000
9.837073424451150e-001	1.277112e+000
1.042752752601365e+000	1.134932e+000
1.075017330064780e+000	1.064015e+000
1.083410412474406e+000	1.047474e+000
1.086298953269945e+000	1.055284e+000
1.089707267323780e+000	1.137523e+000
1.104640286765956e+000	1.743372e+000
1.162576863712651e+000	3.936689e+000
1.249412887081155e+000	6.172678e+000
1.378751831007340e+000	6.413187e+000
1.455505996321713e+000	5.523266e+000
1.560944228743589e+000	4.473314e+000
1.624207168196714e+000	3.941808e+000
1.721210342024839e+000	3.247369e+000
1.839301162337339e+000	2.566595e+000
1.953174453352964e+000	2.041720e+000
2.062830215071713e+000	1.639661e+000
2.123253364551297e+000	1.453099e+000
2.133476188262141e+000	1.428684e+000
2.137038015438026e+000	1.499995e+000
2.141241691331577e+000	1.698169e+000
2.205683379575262e+000	4.641096e+000
2.284115726324238e+000	7.126114e+000
2.419076663824239e+000	7.622215e+000
2.493453817646487e+000	6.598559e+000
2.586239462177736e+000	5.481241e+000
2.674807577412111e+000	4.591884e+000
2.771810751240235e+000	3.782918e+000
2.889901571552735e+000	2.989874e+000
3.003774862568361e+000	2.378437e+000
3.113430624287110e+000	1.910072e+000
3.173376750955941e+000	1.694405e+000
3.183695534834280e+000	1.670026e+000
3.186533823593361e+000	1.741241e+000
3.190564257132153e+000	1.941229e+000
3.253992516433466e+000	4.948781e+000
3.325622422624019e+000	7.307840e+000
3.460583360124020e+000	7.905582e+000
3.535603426856073e+000	6.840223e+000
3.628389071387322e+000	5.682029e+000
3.712739657324822e+000	4.800545e+000
3.805525301856071e+000	3.987744e+000
3.898310946387321e+000	3.315851e+000
4.033271883887322e+000	2.528717e+000
4.126057528418571e+000	2.100408e+000
4.218446597613661e+000	1.746253e+000
4.234618133304668e+000	1.703243e+000
4.237905050695987e+000	1.788444e+000
4.250619521185188e+000	2.382694e+000
4.312326347803771e+000	4.962955e+000
4.406457067252054e+000	7.228431e+000
4.528981778341326e+000	6.864036e+000
4.602615182694249e+000	5.925255e+000
4.712270944412999e+000	4.758448e+000
4.779751413162998e+000	4.158444e+000
4.855666940506747e+000	3.574369e+000
4.990627878006748e+000	2.730111e+000
5.104501169022374e+000	2.171796e+000
5.214156930741123e+000	1.744123e+000
5.268984811600498e+000	1.563069e+000
5.282449394528626e+000	1.521746e+000
5.286169598138988e+000	1.514665e+000
5.289513401097166e+000	1.550443e+000
5.294315402658921e+000	1.714175e+000
5.345570953564315e+000	3.477000e+000
5.480531891064316e+000	5.860723e+000
5.607343352809044e+000	5.044398e+000
5.697520998945226e+000	4.209159e+000
5.786089114179601e+000	3.526202e+000
5.840916995038975e+000	3.161763e+000
5.975877932538976e+000	2.414962e+000
6.110838870038976e+000	1.843484e+000
6.250017336835852e+000	1.393914e+000
6.338585452070227e+000	1.202660e+000
6.360637201159621e+000	1.538313e+000
6.457010606378764e+000	3.360493e+000
6.591971543878764e+000	3.711761e+000
6.726932481378765e+000	2.864791e+000
6.861893418878766e+000	2.186867e+000
6.996854356378766e+000	1.669365e+000
7.131815293878767e+000	1.274325e+000
7.266776231378768e+000	9.727671e-001
7.417883234492877e+000	8.572738e-001
7.455396027012344e+000	1.298431e+000
7.559151408964029e+000	1.979417e+000
7.694112346464030e+000	1.745262e+000
7.829073283964030e+000	1.332794e+000
7.964034221464031e+000	1.017400e+000
8.098995158964030e+000	7.766405e-001
8.233956096464027e+000	5.928540e-001
8.368917033964024e+000	4.525586e-001
8.492070905273545e+000	3.996443e-001
8.574298245161440e+000	7.019538e-001
8.709259182661437e+000	7.459473e-001
8.844220120161435e+000	5.742959e-001
9.012921292036431e+000	4.097739e-001
9.147882229536428e+000	3.128024e-001
9.282843167036425e+000	2.387781e-001
9.417804104536423e+000	1.822710e-001
9.539336777872133e+000	1.626614e-001
9.609594284326953e+000	3.660588e-001
9.732518229406026e+000	5.322239e-001
9.867479166906023e+000	4.304607e-001
1.000244010440602e+001	3.286089e-001
1.013740104190602e+001	2.508442e-001
1.027236197940601e+001	1.914816e-001
1.040732291690601e+001	1.461666e-001
1.052732463535455e+001	1.188764e-001
1.056258976982673e+001	2.630035e-001
1.062205712542620e+001	7.411723e-001
1.075701806292620e+001	1.290957e+000
1.089197900042620e+001	1.086023e+000
1.102693993792619e+001	8.290851e-001
1.116190087542619e+001	6.328881e-001
1.129686181292619e+001	4.831190e-001
1.143182275042619e+001	3.687912e-001
1.155568377984730e+001	2.981930e-001
