time	V(out)
3.409619456711870e-003	2.660230e-007
6.308532267921877e-003	2.522554e-006
9.469028213050620e-003	2.210058e-005
1.268880472053974e-002	1.905569e-004
1.593723094752448e-002	1.636960e-003
1.938018979812662e-002	1.402389e-002
2.402224115652445e-002	9.633698e-002
3.575837917467169e-002	4.435309e-001
1.142135848973145e-001	2.650834e+000
2.491745223973145e-001	4.864352e+000
3.563839133219691e-001	4.917307e+000
4.576257520016520e-001	4.754091e+000
5.377588086422770e-001	4.628781e+000
6.347619824704022e-001	4.481532e+000
7.528528027829020e-001	4.308664e+000
8.878137402829018e-001	4.119121e+000
9.848169141110269e-001	3.987947e+000
1.043862324267277e+000	3.910231e+000
1.140865498095402e+000	3.785832e+000
1.153072018723959e+000	3.772453e+000
1.156816994649740e+000	3.791977e+000
1.161161260597100e+000	3.903100e+000
1.182813288019830e+000	4.608208e+000
1.301862466521589e+000	6.786551e+000
1.395905034749534e+000	6.779699e+000
1.513734305090566e+000	6.518519e+000
1.572779715246816e+000	6.391488e+000
1.690870535559316e+000	6.144804e+000
1.783656180090566e+000	5.957844e+000
1.918617117590566e+000	5.695752e+000
2.015620291418691e+000	5.514371e+000
2.129493582434316e+000	5.309002e+000
2.201191580481190e+000	5.183634e+000
2.213822488417813e+000	5.163107e+000
2.217040288687346e+000	5.172532e+000
2.220835228540614e+000	5.261100e+000
2.237097515972351e+000	5.844893e+000
2.342298019916656e+000	7.999835e+000
2.431723739205520e+000	8.021405e+000
2.513987204261569e+000	7.804387e+000
2.632078024574069e+000	7.503172e+000
2.750168844886568e+000	7.213583e+000
2.842954489417818e+000	6.994104e+000
2.977915426917819e+000	6.686245e+000
3.070701071449068e+000	6.482613e+000
3.184574362464693e+000	6.241185e+000
3.256272360511567e+000	6.093863e+000
3.274161076320010e+000	6.057897e+000
3.278000933576747e+000	6.052839e+000
3.281725743222224e+000	6.081942e+000
3.286120717919072e+000	6.209943e+000
3.319010199386509e+000	7.190393e+000
3.439627772899310e+000	8.379928e+000
3.514211953626559e+000	8.179356e+000
3.623867715345308e+000	7.885784e+000
3.712435830579683e+000	7.656398e+000
3.801003945814057e+000	7.433683e+000
3.893789590345307e+000	7.207509e+000
4.028750527845308e+000	6.890256e+000
4.121536172376557e+000	6.680410e+000
4.210104287610932e+000	6.486086e+000
4.294454873548431e+000	6.306279e+000
4.342117919989838e+000	6.208146e+000
4.349564766441597e+000	6.220408e+000
4.355070881103726e+000	6.330942e+000
4.386391983017322e+000	7.001848e+000
4.490326214663582e+000	7.583007e+000
4.557391216943479e+000	7.417530e+000
4.667046978662229e+000	7.151302e+000
4.755615093896603e+000	6.943280e+000
4.823095562646603e+000	6.788878e+000
4.941186382959103e+000	6.527010e+000
5.076147320459103e+000	6.239881e+000
5.173150494287229e+000	6.041173e+000
5.261718609521603e+000	5.865443e+000
5.329199078271603e+000	5.735010e+000
5.428648016860628e+000	5.580842e+000
5.446095182840721e+000	5.712662e+000
5.496048528131067e+000	5.980818e+000
5.628083251267024e+000	5.796320e+000
5.720868895798274e+000	5.619791e+000
5.809437011032649e+000	5.456319e+000
5.902222655563898e+000	5.290306e+000
6.037183593063899e+000	5.057579e+000
6.172144530563900e+000	4.835090e+000
6.281800292282650e+000	4.661426e+000
6.399891112595150e+000	4.481619e+000
6.534852050095151e+000	4.284513e+000
6.669812987595152e+000	4.096090e+000
6.804773925095152e+000	3.915898e+000
6.939734862595153e+000	3.743632e+000
7.074695800095154e+000	3.578944e+000
7.209656737595155e+000	3.421501e+000
7.344617675095155e+000	3.270984e+000
7.479578612595156e+000	3.127089e+000
7.614539550095157e+000	2.989523e+000
7.749500487595157e+000	2.858009e+000
7.918201659470158e+000	2.701722e+000
8.053162596970157e+000	2.582869e+000
8.188123534470154e+000	2.469244e+000
8.323084471970152e+000	2.360617e+000
8.458045409470149e+000	2.256769e+000
8.593006346970146e+000	2.157489e+000
8.727967284470143e+000	2.062577e+000
8.862928221970140e+000	1.971840e+000
8.997889159470137e+000	1.885094e+000
9.132850096970135e+000	1.802164e+000
9.267811034470132e+000	1.722883e+000
9.402771971970129e+000	1.647089e+000
9.537732909470126e+000	1.574629e+000
9.672693846970123e+000	1.505357e+000
9.807654784470120e+000	1.439133e+000
9.942615721970117e+000	1.375821e+000
1.011131689384511e+001	1.300584e+000
1.024627783134511e+001	1.243367e+000
1.038123876884511e+001	1.188667e+000
1.051619970634511e+001	1.136374e+000
1.065116064384510e+001	1.101712e+000
1.071058545333976e+001	1.241231e+000
1.079666797975402e+001	1.350038e+000
1.093162891725402e+001	1.299845e+000
1.110033008912902e+001	1.228762e+000
1.123529102662901e+001	1.174705e+000
1.137025196412901e+001	1.123025e+000
1.150521290162901e+001	1.073620e+000
1.161779886493596e+001	1.177561e+000
1.164788522260007e+001	1.642616e+000
1.176862460714096e+001	2.852784e+000
1.190358554464096e+001	2.909801e+000
1.203854648214095e+001	2.781800e+000
1.220724765401595e+001	2.629680e+000
1.234220859151595e+001	2.513996e+000
1.247716952901594e+001	2.403401e+000
1.255730258565657e+001	2.339988e+000
1.265292768216148e+001	2.268873e+000
1.266737315914733e+001	2.341566e+000
1.267579187463826e+001	2.554471e+000
1.275198437159306e+001	4.163001e+000
1.288694530909306e+001	4.974270e+000
1.300081860010868e+001	4.795321e+000
1.307673412745243e+001	4.675497e+000
1.316530224268681e+001	4.539492e+000
1.326230541651493e+001	4.395187e+000
1.339726635401493e+001	4.201838e+000
1.351113964503056e+001	4.045222e+000
1.359127270167118e+001	3.938597e+000
1.367984081690556e+001	3.824027e+000
1.371430601972873e+001	3.780542e+000
1.372123956476624e+001	3.778518e+000
1.372509066643469e+001	3.830832e+000
1.373068220173117e+001	4.009133e+000
1.379934544673267e+001	5.878166e+000
1.392118601671667e+001	6.868765e+000
1.401506466511223e+001	6.660320e+000
1.410785030964348e+001	6.457477e+000
1.419641842487786e+001	6.269638e+000
1.428076901081536e+001	6.095912e+000
1.441572994831535e+001	5.827839e+000
1.452960323933098e+001	5.610618e+000
1.463925900104973e+001	5.409243e+000
1.472782711628411e+001	5.251894e+000
1.477632113856294e+001	5.167840e+000
1.478188932948939e+001	5.163038e+000
1.478558103449078e+001	5.210999e+000
1.479046801583376e+001	5.379499e+000
1.484766589463862e+001	7.084261e+000
1.497231331569507e+001	8.094470e+000
1.507355152978973e+001	7.827224e+000
1.518742482080536e+001	7.535720e+000
1.528021046533661e+001	7.306231e+000
1.536877858057098e+001	7.093908e+000
1.550373951807098e+001	6.781840e+000
1.560074269189911e+001	6.565874e+000
1.571883351221161e+001	6.312459e+000
1.580740162744599e+001	6.128839e+000
1.584060562291302e+001	6.061771e+000
1.584583983785505e+001	6.059450e+000
1.584962244168257e+001	6.118963e+000
1.585550018786324e+001	6.313113e+000
1.594495136697570e+001	8.199923e+000
1.604219641001347e+001	8.283827e+000
1.612298193148165e+001	8.063686e+000
1.624107275179415e+001	7.752464e+000
1.632964086702853e+001	7.526955e+000
1.641820898226291e+001	7.308218e+000
1.655316991976291e+001	6.986722e+000
1.665017309359103e+001	6.764231e+000
1.676826391390353e+001	6.503161e+000
1.685261449984104e+001	6.322880e+000
1.690438075703102e+001	6.215174e+000
1.691513708177946e+001	6.213307e+000
1.692057446412650e+001	6.309314e+000
1.694378307255429e+001	6.842267e+000
1.704799426276853e+001	7.604752e+000
1.714112913034422e+001	7.376276e+000
1.725921995065672e+001	7.091584e+000
1.731826536081297e+001	6.953385e+000
1.738574582956298e+001	6.798759e+000
1.750383664987547e+001	6.536510e+000
1.763879758737547e+001	6.248962e+000
1.773580076120360e+001	6.049964e+000
1.783280393503172e+001	5.857506e+000
1.790871946237548e+001	5.711217e+000
1.800161763014843e+001	5.605529e+000
1.801569757486503e+001	5.746952e+000
1.808897836159364e+001	5.983708e+000
1.821621638934244e+001	5.750751e+000
1.833430720965494e+001	5.528785e+000
1.839335261981119e+001	5.421041e+000
1.849035579363931e+001	5.248714e+000
1.862531673113931e+001	5.017817e+000
1.876027766863931e+001	4.797077e+000
1.885306331317056e+001	4.650914e+000
1.898802425067056e+001	4.446385e+000
1.912298518817055e+001	4.250855e+000
1.925794612567055e+001	4.063891e+000
1.939290706317055e+001	3.885115e+000
1.952786800067054e+001	3.714203e+000
1.966282893817054e+001	3.550810e+000
1.979778987567054e+001	3.394605e+000
1.996649104754554e+001	3.208976e+000
2.010145198504553e+001	3.067808e+000
2.023641292254553e+001	2.932850e+000
2.037137386004553e+001	2.803829e+000
2.050633479754552e+001	2.680484e+000
2.064129573504552e+001	2.562565e+000
2.077625667254552e+001	2.449833e+000
2.094495784442051e+001	2.315866e+000
2.107991878192051e+001	2.213987e+000
2.121487971942051e+001	2.116589e+000
2.134984065692051e+001	2.023476e+000
2.148480159442050e+001	1.934458e+000
2.161976253192050e+001	1.849357e+000
2.175472346942050e+001	1.768000e+000
2.188968440692050e+001	1.690221e+000
2.202464534442049e+001	1.615864e+000
2.215960628192049e+001	1.544778e+000
2.229456721942049e+001	1.476819e+000
2.242952815692048e+001	1.411850e+000
2.256448909442048e+001	1.349738e+000
2.269945003192048e+001	1.290359e+000
2.283441096942048e+001	1.233593e+000
2.296937190692047e+001	1.179323e+000
2.313807307879547e+001	1.114832e+000
2.326423025651964e+001	1.196684e+000
2.331600692479179e+001	1.324681e+000
2.345096786229178e+001	1.320421e+000
2.358592879979178e+001	1.262336e+000
2.372088973729178e+001	1.206802e+000
2.385585067479178e+001	1.153711e+000
2.399081161229177e+001	1.102955e+000
2.412577254979177e+001	1.054513e+000
2.418355524728509e+001	1.156147e+000
2.420739461462161e+001	1.537629e+000
2.431460266488813e+001	2.742849e+000
2.444956360238813e+001	2.929494e+000
2.458452453988812e+001	2.800790e+000
2.471948547738812e+001	2.677578e+000
2.485444641488812e+001	2.559787e+000
2.498940735238811e+001	2.447177e+000
2.512436828988811e+001	2.339458e+000
2.518341370004436e+001	2.293906e+000
2.523485083710893e+001	2.368807e+000
2.524715954701100e+001	2.683509e+000
2.536154276807090e+001	4.712681e+000
2.549650370557090e+001	4.909287e+000
2.559772440869590e+001	4.746283e+000
2.565676981885215e+001	4.653789e+000
2.575377299268028e+001	4.505743e+000
2.587186381299278e+001	4.331942e+000
2.600682475049277e+001	4.141374e+000
2.610804545361777e+001	4.003855e+000
2.617552592236777e+001	3.914818e+000
2.626409403760215e+001	3.800971e+000
2.628231872452528e+001	3.778161e+000
2.628639764319127e+001	3.775566e+000
2.629057056977894e+001	3.811366e+000
2.629533424235533e+001	3.950803e+000
2.633302933986454e+001	5.104220e+000
2.646799027736454e+001	6.879964e+000
2.656921618828316e+001	6.689783e+000
2.666200183281441e+001	6.486044e+000
2.675056994804879e+001	6.297374e+000
2.684757312187691e+001	6.097044e+000
2.696566394218941e+001	5.861862e+000
2.707953723320503e+001	5.643373e+000
2.718919299492379e+001	5.440822e+000
2.727776111015816e+001	5.282556e+000
2.734122303053406e+001	5.172061e+000
2.734799969607314e+001	5.164216e+000
2.735144317647315e+001	5.199010e+000
2.735605952010817e+001	5.350539e+000
2.739800124505551e+001	6.689941e+000
2.751874269274075e+001	8.130489e+000
2.760260087976811e+001	7.917511e+000
2.772069170008061e+001	7.611930e+000
2.778817216883061e+001	7.442660e+000
2.789782793054937e+001	7.175530e+000
2.799061357508062e+001	6.957209e+000
2.812557451258061e+001	6.650974e+000
2.821836015711186e+001	6.448416e+000
2.830692827234624e+001	6.260840e+000
2.839127885828374e+001	6.087277e+000
2.841044566419032e+001	6.051736e+000
2.841448452347947e+001	6.081642e+000
2.841891108115814e+001	6.211570e+000
2.845273983964645e+001	7.214242e+000
2.857304543856374e+001	8.379228e+000
2.864356366351791e+001	8.188654e+000
2.875321942523667e+001	7.894749e+000
2.885022259906479e+001	7.643605e+000
2.893879071429917e+001	7.421263e+000
2.905688153461167e+001	7.135002e+000
2.917075482562729e+001	6.869061e+000
2.928041058734604e+001	6.622518e+000
2.936476117328355e+001	6.438928e+000
2.943645917133042e+001	6.286893e+000
2.947138727232328e+001	6.214243e+000
2.947946416493465e+001	6.203533e+000
2.948418519284481e+001	6.248027e+000
2.949085904220065e+001	6.408120e+000
2.956363630675941e+001	7.493202e+000
2.965048787105427e+001	7.518415e+000
2.976412934317112e+001	7.238909e+000
2.985269745840549e+001	7.028339e+000
2.992017792715550e+001	6.872046e+000
2.999609345449925e+001	6.700419e+000
3.013105439199925e+001	6.405763e+000
3.024492768301487e+001	6.167002e+000
3.037988862051487e+001	5.895725e+000
3.045158661856175e+001	5.756516e+000
3.053171967520238e+001	5.605523e+000
3.057085127449263e+001	5.625124e+000
3.058456926528194e+001	5.771698e+000
3.068078343186572e+001	5.949729e+000
3.078411326372802e+001	5.750026e+000
3.088955149614990e+001	5.551450e+000
3.093172678911865e+001	5.473969e+000
3.101185984575927e+001	5.329840e+000
3.114682078325927e+001	5.095374e+000
3.128178172075927e+001	4.871222e+000
3.141252512896239e+001	4.663353e+000
3.150531077349364e+001	4.521467e+000
3.164027171099364e+001	4.322578e+000
3.177523264849364e+001	4.132514e+000
3.194393382036863e+001	3.906534e+000
3.207889475786864e+001	3.734680e+000
3.221385569536865e+001	3.570386e+000
3.234881663286866e+001	3.413320e+000
3.248377757036867e+001	3.263163e+000
3.261873850786868e+001	3.119611e+000
3.275369944536870e+001	2.982375e+000
3.288866038286871e+001	2.851175e+000
3.302362132036872e+001	2.725747e+000
3.315858225786873e+001	2.605836e+000
3.329354319536874e+001	2.491201e+000
3.342850413286875e+001	2.381608e+000
3.356346507036876e+001	2.276837e+000
3.369842600786878e+001	2.176674e+000
3.383338694536879e+001	2.080918e+000
3.396834788286880e+001	1.989374e+000
3.410330882036881e+001	1.901857e+000
3.423826975786882e+001	1.818190e+000
3.437323069536883e+001	1.738204e+000
3.450819163286884e+001	1.661736e+000
