time	V(out)
3.409103922185389e-003	2.659774e-007
6.307753096980809e-003	2.522197e-006
9.468153726370037e-003	2.209780e-005
1.268790708766734e-002	1.905339e-004
1.593632118910961e-002	1.636764e-003
1.937919310411136e-002	1.402221e-002
2.402015345545315e-002	9.631872e-002
3.573709833631133e-002	4.430830e-001
1.139650703585178e-001	2.646003e+000
2.489260078585178e-001	4.875180e+000
3.586488620533654e-001	5.043152e+000
4.660387451104155e-001	5.032330e+000
5.166490966729155e-001	5.027237e+000
6.052172119072906e-001	5.018338e+000
6.980028564385405e-001	5.009032e+000
8.329637939385404e-001	4.995526e+000
9.468370849541653e-001	4.984159e+000
1.026970141594790e+000	4.976175e+000
1.115538256829165e+000	4.967366e+000
1.183018725579166e+000	4.961090e+000
1.192726436063010e+000	4.978304e+000
1.199704502802957e+000	5.121383e+000
1.220280600515854e+000	5.649277e+000
1.330640085845369e+000	6.927158e+000
1.433705646567608e+000	6.937006e+000
1.547578937583234e+000	6.921222e+000
1.640364582114484e+000	6.908388e+000
1.724715168051984e+000	6.896742e+000
1.859676105551984e+000	6.878148e+000
1.960896808676984e+000	6.864234e+000
2.074770099692608e+000	6.848617e+000
2.167555744223858e+000	6.835917e+000
2.251906330161357e+000	6.825234e+000
2.269865604046185e+000	6.883076e+000
2.276843776109557e+000	7.044701e+000
2.315135987403800e+000	7.755943e+000
2.403297432703225e+000	8.196595e+000
2.495864659521690e+000	8.181540e+000
2.609737950537315e+000	8.162925e+000
2.732046300146689e+000	8.142979e+000
2.820614415381064e+000	8.128566e+000
2.955575352881064e+000	8.106651e+000
3.052578526709189e+000	8.090936e+000
3.149581700537314e+000	8.075252e+000
3.229714757177938e+000	8.062318e+000
3.314065343115438e+000	8.049761e+000
3.371738519332951e+000	8.220276e+000
3.394490046032827e+000	8.390225e+000
3.474101008022140e+000	8.463099e+000
3.595364718645410e+000	8.442595e+000
3.683932833879784e+000	8.427652e+000
3.772500949114159e+000	8.412735e+000
3.861069064348534e+000	8.397844e+000
3.996030001848534e+000	8.375204e+000
4.093033175676659e+000	8.358968e+000
4.190036349504783e+000	8.342765e+000
4.270169406145408e+000	8.329403e+000
4.358737521379783e+000	8.314660e+000
4.493698458879783e+000	8.292244e+000
4.594919162004784e+000	8.275471e+000
4.713009982317283e+000	8.255945e+000
4.780490451067283e+000	8.244809e+000
4.856405978411032e+000	8.232299e+000
4.991366915911033e+000	8.210105e+000
5.105240206926658e+000	8.191424e+000
5.214895968645408e+000	8.173477e+000
5.273941378801657e+000	8.163829e+000
5.341421847551657e+000	8.152817e+000
5.459512667864157e+000	8.133582e+000
5.594473605364158e+000	8.111654e+000
