time	V(in)	V(out)
0.000000000000000e+000	0.000000e+000	
3.963128591840853e-004	1.189175e-002
7.926257183681707e-004	2.378701e-002	
1.188938577552256e-003	3.568580e-002	
1.585251436736341e-003	4.758810e-002	
1.981564295920427e-003	5.949392e-002	
2.377877155104512e-003	7.140326e-002	
2.774190014288597e-003	8.331612e-002	
3.409619456711870e-003	1.024231e-001	
4.085504887446084e-003	1.227555e-001	
4.802559029571580e-003	1.443361e-001	
5.543764126351323e-003	1.666535e-001	
6.308532267921877e-003	1.896908e-001	
7.085522542160955e-003	2.131064e-001	
7.874557698063974e-003	2.368951e-001	
8.668937204951436e-003	2.608546e-001	
9.469028213050620e-003	2.849956e-001	
1.027116369329152e-002	3.092071e-001	
1.107597539130463e-002	3.335077e-001	
1.188160183774973e-002	3.578406e-001	
1.268880472053974e-002	3.822284e-001	
1.349690654440228e-002	4.066499e-001	
1.430700308611418e-002	4.311378e-001	
1.511967429820961e-002	4.557090e-001	
1.593723094752448e-002	4.804330e-001	
1.676284794554055e-002	5.054052e-001	
1.760290224597983e-002	5.308180e-001	
1.846833686283166e-002	5.570022e-001	
1.938018979812662e-002	5.845939e-001	
2.037824526295437e-002	6.147965e-001	
2.156209973350498e-002	6.506236e-001	
2.275585302922677e-002	6.867507e-001	
2.402224115652445e-002	7.250739e-001	
2.569227912051732e-002	7.756056e-001	
2.754264425912757e-002	8.315790e-001	
2.962387582136032e-002	8.945087e-001	
3.575837917467169e-002	1.079667e+000	
4.214623222433494e-002	1.271533e+000	
5.492193832366145e-002	1.650149e+000	
8.047335052231447e-002	2.381559e+000	
1.142135848973145e-001	3.280393e+000	
1.479538192723145e-001	4.069804e+000	
1.816940536473145e-001	4.709835e+000	
2.154342880223145e-001	5.169783e+000	
2.491745223973145e-001	5.425805e+000	
2.829147567723145e-001	5.475249e+000	
3.089126911274487e-001	5.359983e+000	
3.338653345702349e-001	5.115875e+000	
3.563839133219691e-001	4.791965e+000	
3.774926953610269e-001	4.389314e+000	
4.112329297360269e-001	3.588873e+000	
4.449731641110269e-001	2.668835e+000	
4.576257520016520e-001	2.274167e+000	
4.787133984860270e-001	1.581966e+000	
5.040185742672769e-001	7.020070e-001	
5.166711621579020e-001	2.492169e-001	
5.377588086422770e-001	-5.144842e-001	
5.672815137204020e-001	-1.585249e+000	
5.968042187985271e-001	-2.625629e+000	
6.263269238766521e-001	-3.601727e+000	
6.347619824704022e-001	-3.860869e+000	
6.516320996579021e-001	-4.342925e+000	
6.853723340329021e-001	-5.185508e+000	
7.191125684079021e-001	-5.849380e+000	
7.528528027829020e-001	-6.283739e+000	
7.865930371579020e-001	-6.465918e+000	
8.203332715329019e-001	-6.383427e+000	
8.540735059079019e-001	-6.034683e+000	
8.878137402829018e-001	-5.429276e+000	
9.215539746579018e-001	-4.632841e+000	
9.342065625485269e-001	-4.259720e+000	
9.552942090329019e-001	-3.581514e+000	
9.848169141110269e-001	-2.518424e+000	
1.010122089892277e+000	-1.528664e+000	
1.022774677782902e+000	-1.014004e+000	
1.039644794970402e+000	-3.158283e-001	
1.043862324267277e+000	-1.397437e-001	
1.081820087939152e+000	1.454710e+000	
1.102907734423527e+000	2.327302e+000	
1.132430439501652e+000	3.496129e+000	
1.140865498095402e+000	3.814141e+000	
1.146109585120936e+000	4.008512e+000	
1.149658951806088e+000	4.137924e+000	
1.151890620021548e+000	4.218404e+000	
1.153072018723959e+000	4.260697e+000	
1.153961600251894e+000	4.292386e+000	
1.154841867185923e+000	4.323626e+000	
1.155747416087527e+000	4.355643e+000	
1.156816994649740e+000	4.393319e+000	
1.157717494609520e+000	4.424916e+000	
1.158680126313137e+000	4.458555e+000	
1.159736725859135e+000	4.495310e+000	
1.161161260597100e+000	4.544618e+000	
1.162458660369967e+000	4.589252e+000	
1.164336973967220e+000	4.653419e+000	
1.166110528643022e+000	4.713445e+000	
1.182813288019830e+000	5.247936e+000	
1.200641763396589e+000	5.748346e+000	
1.234381997771589e+000	6.529011e+000	
1.268122232146589e+000	7.077332e+000	
1.301862466521589e+000	7.341240e+000	
1.335602700896589e+000	7.331215e+000	
1.357976569544494e+000	7.161812e+000	
1.376982304229829e+000	6.899623e+000	
1.395905034749534e+000	6.535518e+000	
1.425166189856191e+000	5.837047e+000	
1.454688894934316e+000	4.913051e+000	
1.484211600012441e+000	3.823016e+000	
1.513734305090566e+000	2.599743e+000	
1.539039480871816e+000	1.472686e+000	
1.551692068762441e+000	8.906865e-001	
1.568562185949941e+000	1.043968e-001	
1.572779715246816e+000	-9.329152e-002	
1.602302420324941e+000	-1.479017e+000	
1.631825125403066e+000	-2.832558e+000	
1.661347830481191e+000	-4.110538e+000	
1.690870535559316e+000	-5.271559e+000	
1.699305594153066e+000	-5.571183e+000	
1.716175711340567e+000	-6.115513e+000	
1.749915945715566e+000	-7.026680e+000	
1.783656180090566e+000	-7.687365e+000	
1.817396414465566e+000	-8.038170e+000	
1.851136648840566e+000	-8.061346e+000	
1.884876883215566e+000	-7.752643e+000	
1.918617117590566e+000	-7.121615e+000	
1.952357351965566e+000	-6.249224e+000	
1.965009939856191e+000	-5.827017e+000	
1.986097586340566e+000	-5.050652e+000	
2.015620291418691e+000	-3.814869e+000	
2.045142996496816e+000	-2.449483e+000	
2.074665701574941e+000	-9.968564e-001	
2.099970877356191e+000	2.834655e-001	
2.129493582434316e+000	1.775741e+000	
2.142146170324940e+000	2.402317e+000	
2.163233816809315e+000	3.423166e+000	
2.192756521887440e+000	4.761199e+000	
2.201191580481190e+000	5.118888e+000	
2.206579677170207e+000	5.342274e+000	
2.210257021271359e+000	5.491449e+000	
2.212563541927164e+000	5.583651e+000	
2.213822488417813e+000	5.633490e+000	
2.214652946274652e+000	5.666159e+000	
2.215412106951827e+000	5.695886e+000	
2.216222776884503e+000	5.727501e+000	
2.217040288687346e+000	5.759243e+000	
2.218126093429843e+000	5.801211e+000	
2.218897917057228e+000	5.830902e+000	
2.219849732174688e+000	5.867335e+000	
2.220835228540614e+000	5.904850e+000	
2.222214936756820e+000	5.957023e+000	
2.223837797241759e+000	6.017926e+000	
2.225344524850109e+000	6.073940e+000	
2.237097515972351e+000	6.489999e+000	
2.249670861037119e+000	6.889882e+000	
2.274817551166656e+000	7.563960e+000	
2.308557785541656e+000	8.222476e+000	
2.342298019916656e+000	8.566216e+000	
2.376038254291656e+000	8.600061e+000	
2.394504455572582e+000	8.468868e+000	
2.412645509417007e+000	8.214894e+000	
2.431723739205520e+000	7.841348e+000	
2.450724264808445e+000	7.385969e+000	
2.463376852699069e+000	7.010834e+000	
2.484464499183444e+000	6.307848e+000	
2.513987204261569e+000	5.143043e+000	
2.543509909339694e+000	3.811599e+000	
2.573032614417819e+000	2.354990e+000	
2.602555319495944e+000	8.188376e-001	
2.632078024574069e+000	-7.485313e-001	
2.661600729652193e+000	-2.297628e+000	
2.691123434730318e+000	-3.779381e+000	
2.720646139808443e+000	-5.146708e+000	
2.750168844886568e+000	-6.356031e+000	
2.758603903480318e+000	-6.660520e+000	
2.775474020667818e+000	-7.202002e+000	
2.809214255042818e+000	-8.071704e+000	
2.842954489417818e+000	-8.648353e+000	
2.876694723792818e+000	-8.871634e+000	
2.910434958167818e+000	-8.731591e+000	
2.944175192542819e+000	-8.233328e+000	
2.977915426917819e+000	-7.463686e+000	
2.990568014808444e+000	-7.066227e+000	
3.011655661292819e+000	-6.319140e+000	
3.041178366370943e+000	-5.095748e+000	
3.070701071449068e+000	-3.711539e+000	
3.100223776527193e+000	-2.210151e+000	
3.129746481605318e+000	-6.389678e-001	
3.159269186683443e+000	9.523956e-001	
3.184574362464693e+000	2.293795e+000	
3.197226950355317e+000	2.944270e+000	
3.218314596839692e+000	3.995587e+000	
3.247837301917817e+000	5.351357e+000	
3.256272360511567e+000	5.703789e+000	
3.273142477699067e+000	6.382460e+000	
3.273287991787773e+000	6.388108e+000	
3.273579019965185e+000	6.399112e+000	
3.274161076320010e+000	6.421047e+000	
3.275325189029659e+000	6.464710e+000	
3.276314941073858e+000	6.501625e+000	
3.277189942309604e+000	6.534061e+000	
3.278000933576747e+000	6.563955e+000	
3.278854646879514e+000	6.595253e+000	
3.279675878597437e+000	6.625191e+000	
3.280618910399173e+000	6.659359e+000	
3.281725743222224e+000	6.699208e+000	
3.282634563324531e+000	6.731709e+000	
3.283665446287857e+000	6.768306e+000	
3.284875776750225e+000	6.810947e+000	
3.286120717919072e+000	6.854406e+000	
3.287844178534386e+000	6.913944e+000	
3.289497175475595e+000	6.970276e+000	
3.303750036556094e+000	7.420142e+000	
3.319010199386509e+000	7.823550e+000	
3.349530525047340e+000	8.434360e+000	
3.383270759422341e+000	8.814230e+000	
3.417010993797341e+000	8.870778e+000	
3.439627772899310e+000	8.708476e+000	
3.460051155312693e+000	8.404608e+000	
3.481143402171566e+000	7.956100e+000	
3.501559365735934e+000	7.423877e+000	
3.514211953626559e+000	7.019421e+000	
3.535299600110934e+000	6.269100e+000	
3.564822305189058e+000	5.046113e+000	
3.594345010267183e+000	3.668332e+000	
3.623867715345308e+000	2.179658e+000	
3.653390420423433e+000	6.273835e-001	
3.678695596204683e+000	-7.163942e-001	
3.691348184095308e+000	-1.381009e+000	
3.712435830579683e+000	-2.471033e+000	
3.737741006360932e+000	-3.718371e+000	
3.750393594251557e+000	-4.307229e+000	
3.771481240735932e+000	-5.239529e+000	
3.801003945814057e+000	-6.389874e+000	
3.809439004407807e+000	-6.675581e+000	
3.826309121595307e+000	-7.177672e+000	
3.860049355970307e+000	-7.965396e+000	
3.893789590345307e+000	-8.459933e+000	
3.927529824720307e+000	-8.606028e+000	
3.961270059095308e+000	-8.399685e+000	
3.995010293470308e+000	-7.851511e+000	
4.028750527845308e+000	-7.047550e+000	
4.041403115735933e+000	-6.645309e+000	
4.062490762220308e+000	-5.897767e+000	
4.092013467298433e+000	-4.692644e+000	
